#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,31.620544,2.268191,0.000000,7.167370,10.520064,0.098741,55.687994
0.000000,0.000000,40.976197,3.105934,0.000000,5.372347,7.509352,0.033426,63.960071
0.000000,0.000000,32.307009,2.588229,0.000000,7.952131,7.236352,0.039407,49.182718
0.000000,0.000000,29.045945,2.414914,0.000000,9.538636,9.548154,0.039444,48.084030
0.000000,0.000000,44.002372,3.303119,0.000000,6.306831,7.596334,0.032482,68.131822
0.000000,0.000000,32.945233,2.163839,0.000000,7.848391,10.621416,0.039963,50.250369
0.000000,0.000000,38.067412,2.332210,0.000000,8.219576,9.269024,0.058722,60.205931
0.000000,0.000000,47.617196,3.568342,0.000000,7.801409,9.359395,0.040519,70.366680
0.000000,0.000000,38.842525,3.489138,0.000000,7.127463,9.769673,0.047426,61.752806
0.000000,0.000000,42.201941,3.230323,0.000000,7.721761,9.441931,0.044833,63.744200
0.000000,0.000000,46.602175,2.743618,0.000000,7.906186,10.362452,0.046945,67.916433
0.000000,0.000000,42.130904,3.023063,0.000000,5.465477,6.954462,0.101445,64.941017
0.000000,0.000000,38.100078,3.089508,0.000000,6.007497,6.671535,0.320408,56.213959
0.000000,0.000000,29.832076,2.558229,0.000000,11.364622,14.617870,0.052407,46.574434
0.000000,0.000000,35.860888,2.570470,0.000000,7.663667,10.857620,0.063537,65.808094
0.000000,0.000000,42.306663,3.148156,0.000000,2.922212,3.446712,0.654909,65.893020
0.000000,0.000000,34.211328,3.342009,0.000000,5.315328,4.815660,0.545409,46.115655
0.000000,0.000000,31.920804,2.882081,0.000000,5.377458,7.379501,0.564928,46.793841
0.000000,0.000000,38.750599,4.241973,0.000000,6.614850,8.622244,0.405575,57.814037
0.000000,0.000000,45.334875,4.186437,0.000000,7.086332,6.022682,0.489946,66.447985
0.000000,0.000000,36.669576,3.548787,0.000000,5.170902,5.458181,0.574428,55.355586
0.000000,0.000000,38.058986,4.305196,0.000000,8.430577,6.822370,0.599595,55.388401
0.000000,0.000000,48.647235,5.741515,0.000000,8.449244,5.060680,0.422520,72.410074
0.000000,0.000000,54.503973,6.129016,0.000000,4.324363,7.750354,0.397279,75.903694
0.000000,0.000000,39.872102,3.109507,0.000000,10.188860,9.999544,0.115908,56.787201
0.000000,0.000000,54.805751,4.796179,0.000000,9.431562,8.132150,0.490131,82.548489
0.000000,0.000000,46.236285,4.491697,0.000000,3.063137,2.678729,0.064852,70.336217
0.000000,0.000000,47.510658,4.789364,0.000000,18.341120,0.023019,0.051333,60.012635
0.000000,0.000000,45.950561,4.498141,0.000000,16.346838,0.024593,0.050722,70.656236
0.000000,0.000000,30.211262,2.918915,0.000000,25.544102,0.039223,0.076741,51.605021
0.000000,0.000000,27.767367,2.755007,0.000000,22.294334,0.029223,0.060649,58.421834
0.000000,0.000000,37.681189,4.128325,0.000000,22.405039,0.030130,0.068518,66.158613
0.000000,0.000000,38.787062,5.954515,0.000000,20.642886,0.024759,0.094389,69.286973
0.000000,0.000000,35.717480,2.932174,0.000000,16.418820,0.022907,0.048611,62.348863
0.000000,0.000000,30.073299,2.851896,0.000000,25.332472,0.058944,0.105685,51.029556
0.000000,0.000000,38.293190,3.547287,0.000000,27.848497,0.029963,0.059555,71.034348
0.000000,0.000000,39.963065,3.661065,0.000000,17.174747,0.025314,0.051203,73.502428
0.000000,0.000000,41.299365,3.067489,0.000000,19.342827,0.024037,0.049074,64.134182
0.000000,0.000000,29.862058,2.327728,0.000000,29.556390,0.027649,0.061259,53.351395
0.000000,0.000000,41.578051,3.716899,0.000000,31.282598,0.027686,0.057148,76.974437
0.000000,0.000000,40.668789,3.077267,0.000000,24.130729,0.034259,0.077445,77.045845
0.000000,0.000000,42.170849,3.174953,0.000000,23.396374,0.023722,0.056056,71.838646
0.000000,0.000000,47.572917,3.300471,0.000000,16.390467,0.024167,0.054667,76.373509
0.000000,0.000000,31.684784,2.415839,0.000000,17.549026,0.023666,0.052407,52.227281
0.000000,0.000000,34.065957,2.447784,0.000000,17.476526,0.020648,0.049204,55.790105
0.000000,0.000000,34.479699,2.718952,0.000000,24.544988,0.029834,0.074945,56.584866
0.000000,0.000000,32.835269,3.859066,0.000000,17.193784,0.057296,0.090463,64.429794
0.000000,0.000000,41.687625,3.286564,0.000000,15.046612,0.025963,0.053037,65.713371
0.000000,0.000000,36.287000,2.469043,0.000000,17.507285,0.023704,0.058612,55.631642
